[tm1:1507791200933431,tm2:1507791200950746(17315),tm3:1507791200974965(41534),tm4:1507791200975009(41578)]
[tm1:1507791201014950,tm2:1507791201032184(17234),tm3:1507791201055544(40594),tm4:1507791201055591(40641)]
[tm1:1507791201095082,tm2:1507791201111968(16886),tm3:1507791201135384(40302),tm4:1507791201135434(40352)]
[tm1:1507791201174693,tm2:1507791201191553(16860),tm3:1507791201215109(40416),tm4:1507791201215156(40463)]
[tm1:1507791201254910,tm2:1507791201272315(17405),tm3:1507791201296077(41167),tm4:1507791201296124(41214)]
[tm1:1507791201334406,tm2:1507791201350481(16075),tm3:1507791201374127(39721),tm4:1507791201374174(39768)]
[tm1:1507791201413780,tm2:1507791201431435(17655),tm3:1507791201455285(41505),tm4:1507791201455330(41550)]
[tm1:1507791201494050,tm2:1507791201514215(20165),tm3:1507791201540414(46364),tm4:1507791201540466(46416)]
[tm1:1507791201579144,tm2:1507791201599241(20097),tm3:1507791201625959(46815),tm4:1507791201626010(46866)]
[tm1:1507791201664550,tm2:1507791201684940(20390),tm3:1507791201711831(47281),tm4:1507791201711882(47332)]
[tm1:1507791201750935,tm2:1507791201770573(19638),tm3:1507791201797501(46566),tm4:1507791201797552(46617)]
[tm1:1507791201836513,tm2:1507791202070219(233706),tm3:1507791202098049(261536),tm4:1507791202098102(261589)]
[tm1:1507791202136842,tm2:1507791202160010(23168),tm3:1507791202188968(52126),tm4:1507791202189019(52177)]
[tm1:1507791202227876,tm2:1507791202249946(22070),tm3:1507791202279008(51132),tm4:1507791202279065(51189)]
[tm1:1507791202319272,tm2:1507791202341434(22162),tm3:1507791202371430(52158),tm4:1507791202371487(52215)]
[tm1:1507791202410345,tm2:1507791202434776(24431),tm3:1507791202464883(54538),tm4:1507791202464948(54603)]
[tm1:1507791202505219,tm2:1507791202527881(22662),tm3:1507791202558214(52995),tm4:1507791202558271(53052)]
[tm1:1507791202598362,tm2:1507791202621554(23192),tm3:1507791202651944(53582),tm4:1507791202652003(53641)]
[tm1:1507791202690842,tm2:1507791202713967(23125),tm3:1507791202744654(53812),tm4:1507791202744713(53871)]
[tm1:1507791202783632,tm2:1507791202806894(23262),tm3:1507791202837793(54161),tm4:1507791202837854(54222)]
[tm1:1507791202876558,tm2:1507791202892126(15568),tm3:1507791202922470(45912),tm4:1507791202922520(45962)]
[tm1:1507791202961636,tm2:1507791202977607(15971),tm3:1507791203002525(40889),tm4:1507791203002576(40940)]
[tm1:1507791203041403,tm2:1507791203057351(15948),tm3:1507791203082446(41043),tm4:1507791203082496(41093)]
[tm1:1507791203121025,tm2:1507791203137308(16283),tm3:1507791203162596(41571),tm4:1507791203162646(41621)]
[tm1:1507791203203109,tm2:1507791203218805(15696),tm3:1507791203244932(41823),tm4:1507791203244982(41873)]
[tm1:1507791203285377,tm2:1507791203301515(16138),tm3:1507791203327057(41680),tm4:1507791203327107(41730)]
[tm1:1507791203365977,tm2:1507791203381654(15677),tm3:1507791203407440(41463),tm4:1507791203407490(41513)]
[tm1:1507791203446412,tm2:1507791203462225(15813),tm3:1507791203488221(41809),tm4:1507791203488271(41859)]
[tm1:1507791203527163,tm2:1507791203542969(15806),tm3:1507791203569112(41949),tm4:1507791203569161(41998)]
[tm1:1507791203609627,tm2:1507791203626022(16395),tm3:1507791203652368(42741),tm4:1507791203652428(42801)]
[tm1:1507791203692910,tm2:1507791203710116(17206),tm3:1507791203736559(43649),tm4:1507791203736610(43700)]
[tm1:1507791203775509,tm2:1507791203791423(15914),tm3:1507791203818050(42541),tm4:1507791203818101(42592)]
[tm1:1507791203855581,tm2:1507791203871308(15727),tm3:1507791203898072(42491),tm4:1507791203898122(42541)]
[tm1:1507791203937620,tm2:1507791203954010(16390),tm3:1507791203984804(47184),tm4:1507791203984855(47235)]
